user_id,crowd_r,crowd_concordance,knn_concordance,eigentaste_concordance,gap_knn_minus_crowd,gap_train_only,crowd_nmae,knn_nmae,train_mean,train_std
11123,0.5503,0.6950,0.6924,0.6757,-0.0026,0.0254,0.2122,0.1864,1.596,4.865
8227,0.1919,0.5405,0.5380,0.5341,-0.0026,0.0103,0.3133,0.3070,-0.024,6.301
9354,0.3966,0.6675,0.6649,0.6443,-0.0026,0.0161,0.2132,0.1301,3.377,4.285
24342,0.3590,0.6521,0.6495,0.6353,-0.0026,-0.0208,0.1390,0.1482,2.600,4.238
11046,0.4480,0.6469,0.6443,0.6559,-0.0026,0.0081,0.2058,0.1869,0.405,6.331
24113,0.2462,0.6495,0.6469,0.6430,-0.0026,0.0438,0.1673,0.0982,-1.513,2.389
18450,0.1146,0.5116,0.5090,0.5503,-0.0026,0.0000,0.1922,0.1633,-1.587,3.572
9138,0.3047,0.6727,0.6701,0.6675,-0.0026,0.0080,0.1105,0.0976,0.181,2.153
2258,0.1397,0.6108,0.6082,0.5606,-0.0026,0.1348,0.1747,0.1727,0.089,3.861
16382,0.1226,0.5948,0.5923,0.5639,-0.0026,-0.0371,0.2966,0.2776,1.638,5.789
5798,0.2865,0.6000,0.5974,0.5806,-0.0026,-0.0323,0.0924,0.1076,0.886,2.476
1276,0.1416,0.5084,0.5058,0.4503,-0.0026,-0.0837,0.3917,0.2847,-2.585,7.220
24292,0.2806,0.5948,0.5923,0.5910,-0.0026,0.0231,0.0987,0.0989,0.772,3.241
7253,0.3143,0.7006,0.6981,0.7613,-0.0026,-0.0115,0.1580,0.1614,-1.327,3.976
13948,0.2718,0.5213,0.5187,0.5561,-0.0026,0.0311,0.2545,0.1102,5.238,4.235
21470,0.5254,0.6735,0.6710,0.6735,-0.0026,0.0313,0.1526,0.1417,-1.156,4.573
14865,0.5918,0.7600,0.7574,0.7574,-0.0026,0.0220,0.2687,0.2481,-1.450,6.918
19573,0.6431,0.7071,0.7045,0.6916,-0.0026,0.0402,0.1964,0.1557,1.309,4.611
8411,0.3330,0.6318,0.6292,0.6447,-0.0026,-0.0185,0.0970,0.0882,1.343,2.553
2402,0.1922,0.5853,0.5827,0.5336,-0.0026,0.0619,0.0883,0.0938,0.538,2.564
12634,0.4216,0.7171,0.7145,0.6951,-0.0026,-0.0254,0.2247,0.2044,-1.990,5.437
20214,0.4089,0.6960,0.6934,0.6585,-0.0026,0.0000,0.3236,0.1796,-3.918,5.081
12507,0.4646,0.6494,0.6468,0.6546,-0.0026,0.0289,0.2292,0.1837,-3.665,4.542
9195,0.4360,0.6326,0.6300,0.6326,-0.0026,-0.0244,0.2209,0.2147,-0.135,5.026
21402,0.3338,0.6835,0.6809,0.6835,-0.0026,0.0473,0.2712,0.2201,-3.949,5.662
13229,0.5048,0.6445,0.6419,0.6289,-0.0026,-0.0577,0.3356,0.2466,-3.409,5.829
19306,0.6909,0.7201,0.7174,0.7357,-0.0026,0.0566,0.1604,0.0995,1.999,4.703
22233,0.3692,0.6728,0.6701,0.6701,-0.0026,0.0467,0.2511,0.1922,3.168,5.891
2729,0.6141,0.7167,0.7141,0.6762,-0.0026,0.0616,0.2326,0.1230,4.832,4.204
766,0.3359,0.6229,0.6202,0.6728,-0.0026,0.0798,0.2854,0.2692,3.153,5.664
12417,0.1961,0.5212,0.5185,0.5489,-0.0026,0.0094,0.2743,0.0787,5.364,3.498
1933,0.3346,0.6426,0.6398,0.6385,-0.0027,0.0694,0.3378,0.3164,1.721,7.646
14548,0.6218,0.7604,0.7576,0.7355,-0.0028,0.0395,0.0944,0.0739,1.432,3.493
7050,0.2349,0.6346,0.6308,0.6295,-0.0038,0.1642,0.1834,0.1721,0.250,4.063
6869,0.4515,0.6868,0.6829,0.6932,-0.0039,0.0150,0.1350,0.1424,2.380,4.570
14207,0.5612,0.7112,0.7073,0.6970,-0.0039,0.0036,0.1938,0.1693,1.548,4.944
20379,0.5013,0.6521,0.6483,0.6688,-0.0039,-0.0104,0.1634,0.1558,0.378,5.272
15512,0.3854,0.6791,0.6752,0.6650,-0.0039,0.0299,0.1725,0.1587,1.555,5.405
1975,0.3683,0.5879,0.5841,0.5764,-0.0039,0.0127,0.1929,0.2032,0.246,4.874
13294,0.4871,0.6585,0.6547,0.6341,-0.0039,0.0403,0.1418,0.1448,1.957,4.340
9975,0.1501,0.6354,0.6316,0.6380,-0.0039,-0.0011,0.1854,0.1783,1.553,4.855
16248,0.3606,0.6311,0.6272,0.6658,-0.0039,-0.0288,0.1783,0.1696,-1.284,4.465
1355,0.3051,0.6003,0.5964,0.6118,-0.0039,0.0568,0.1637,0.1676,0.872,3.352
9015,0.4542,0.6658,0.6620,0.5514,-0.0039,0.0059,0.1823,0.1414,4.220,3.755
